"languages","charset","n_pages_languages","n_pages_charset","n_pages","loglikelihood","prob_cs_given_lang","prob_lang_given_cs"
"bis","UTF-8","2122","2820276978","1327","2.091010239179767","0.6253534401508011","4.705211616984663E-7"
"bis","ISO-8859-1","2122","103949213","733","3.88590778064112","0.34542884071630536","7.051520438158584E-6"
"blu","UTF-8","7298","2820276978","7265","-5.813321082756778","0.9954782132090984","2.575988123390624E-6"
"bod","UTF-8","22206","2820276978","22198","-10.864625247716978","0.9996397370080159","7.870858136686176E-6"
"bos","UTF-8","591405","2820276978","572308","-1.9379310393359999","0.9677090995172513","2.029261680552569E-4"
"bos","ISO-8859-1","591405","103949213","9317","-1.4734771599460477","0.01575400951970308","8.96303082159939E-5"
"bos","windows-1250","591405","4164581","5599","3.887321857655185","0.009467285531911295","0.0013444329693671465"
"bos","ISO-8859-2","591405","5794535","1507","0.618931000843753","0.0025481691903179718","2.6007263740748825E-4"
"bos","windows-1252","591405","15713096","844","-2.5265981676775633","0.0014271100176697863","5.3713157483413834E-5"
"bos","windows-1256","591405","2753473","707","0.5940973302878765","0.0011954582730954253","2.567666361718455E-4"
"bos","EUC-KR","591405","4504500","575","-0.8018161872328702","9.722609717537051E-4","1.2765012765012765E-4"
"bos","ISO-8859-9","591405","1190057","458","1.4030757286895166","7.744270001099078E-4","3.848555153240559E-4"
"bre","UTF-8","42496","2820276978","41807","-3.283084908459803","0.9837867093373494","1.4823721331671276E-5"
"bre","ISO-8859-1","42496","103949213","402","-2.481009519383444","0.009459713855421686","3.8672731461661E-6"
"bre","windows-1252","42496","15713096","191","-0.23859671677395236","0.004494540662650603","1.2155465733805738E-5"
"bul","UTF-8","3524437","2820276978","3202496","0.01562142489644791","0.9086546305126181","0.00113552534909924"
"bul","windows-1251","3524437","31259368","320530","4.210793722038529","0.09094502185739169","0.010253886131031184"
"bul","ISO-8859-1","3524437","103949213","679","-10.248015579117569","1.9265488360268606E-4","6.5320359856885115E-6"
"bul","windows-1252","3524437","15713096","351","-7.846677838218025","9.959037429240471E-5","2.2338054830187508E-5"
"cat","UTF-8","4918464","2820276978","4490785","-0.07314598598843708","0.9130462274401114","0.001592320553984964"
"cat","ISO-8859-1","4918464","103949213","347324","1.4085557146457324","0.0706163550246581","0.0033412855179576974"
"cat","windows-1252","4918464","15713096","46403","1.2317333001605681","0.009434449454138528","0.0029531417614962704"
"cat","ISO-8859-15","4918464","3548052","30504","3.3562062085515043","0.0062019362142327365","0.008597393724781936"
"cat","US-ASCII","4918464","917488","2255","0.8739789914869142","4.5847646745000067E-4","0.002457797813159409"
"cat","GB18030","4918464","3063488","438","-4.80797725195803","8.905219190381387E-5","1.429742829088934E-4"
"cat","windows-1250","4918464","4164581","406","-5.573018018262458","8.25460956916631E-5","9.748879899322405E-5"
"cat","EUC-JP","4918464","7893108","162","-8.686621769780992","3.293711207401335E-5","2.0524234560074433E-5"
"ceb","UTF-8","9593","2820276978","9307","-2.0926891686776328","0.9701865943917439","3.3000304837435013E-6"
"ceb","ISO-8859-1","9593","103949213","250","-0.4880599959775038","0.026060669237986032","2.4050206132873754E-6"
"ces","UTF-8","27627763","2820276978","25264463","-0.10203800547042433","0.914459234357845","0.008958149570797228"
"ces","windows-1250","27627763","4164581","2070355","6.534847839630103","0.07493748227100398","0.49713404541777434"
