"capture_time","content_languages","count"
"2019-11-12 18:00:00.000","hun","49677"
"2019-11-12 18:00:00.000","ron","36253"
"2019-11-12 19:00:00.000","ara","32503"
"2019-11-12 19:00:00.000","ell","20035"
"2019-11-12 19:00:00.000","fas","40298"
"2019-11-12 19:00:00.000","fin","32112"
"2019-11-12 19:00:00.000","dan","31074"
"2019-11-12 19:00:00.000","hun","46229"
"2019-11-12 19:00:00.000","ron","34782"
"2019-11-12 20:00:00.000","fin","20829"
"2019-11-12 20:00:00.000","ell","13565"
"2019-11-12 20:00:00.000","hun","30613"
"2019-11-12 20:00:00.000","dan","20668"
"2019-11-12 20:00:00.000","ara","21461"
"2019-11-12 20:00:00.000","fas","26859"
"2019-11-12 20:00:00.000","ron","24375"
"2019-11-12 21:00:00.000","ara","34110"
"2019-11-12 21:00:00.000","hun","49373"
"2019-11-12 21:00:00.000","fas","43800"
"2019-11-12 21:00:00.000","ell","22034"
"2019-11-12 21:00:00.000","ron","36194"
"2019-11-12 21:00:00.000","fin","33489"
"2019-11-12 21:00:00.000","dan","31546"
"2019-11-12 22:00:00.000","fas","24492"
"2019-11-12 22:00:00.000","hun","24581"
"2019-11-12 22:00:00.000","ell","10403"
"2019-11-12 22:00:00.000","ara","17536"
"2019-11-12 22:00:00.000","fin","17921"
"2019-11-12 22:00:00.000","dan","17608"
"2019-11-12 22:00:00.000","ron","22162"
"2019-11-12 23:00:00.000","ara","36494"
"2019-11-12 23:00:00.000","fas","46688"
"2019-11-12 23:00:00.000","ron","41316"
"2019-11-12 23:00:00.000","ell","22898"
"2019-11-12 23:00:00.000","dan","36414"
"2019-11-12 23:00:00.000","fin","37706"
"2019-11-12 23:00:00.000","hun","51235"
"2019-11-13 00:00:00.000","hun","45557"
"2019-11-13 00:00:00.000","ell","20061"
"2019-11-13 00:00:00.000","fas","42229"
"2019-11-13 00:00:00.000","ron","37901"
"2019-11-13 00:00:00.000","ara","30856"
"2019-11-13 00:00:00.000","dan","31419"
"2019-11-13 00:00:00.000","fin","32458"
"2019-11-13 01:00:00.000","ara","22074"
"2019-11-13 01:00:00.000","hun","29163"
"2019-11-13 01:00:00.000","ell","12437"
"2019-11-13 01:00:00.000","fin","22050"
"2019-11-13 01:00:00.000","dan","21045"
"2019-11-13 01:00:00.000","fas","26969"
"2019-11-13 01:00:00.000","ron","22627"
"2019-11-13 02:00:00.000","dan","31387"
"2019-11-13 02:00:00.000","fin","34063"
"2019-11-13 02:00:00.000","ara","34554"
"2019-11-13 02:00:00.000","ron","35783"
"2019-11-13 02:00:00.000","fas","43907"
"2019-11-13 02:00:00.000","ell","21640"
"2019-11-13 02:00:00.000","hun","48377"
"2019-11-13 03:00:00.000","ara","17660"
"2019-11-13 03:00:00.000","fas","24072"
"2019-11-13 03:00:00.000","ell","11879"
"2019-11-13 03:00:00.000","dan","17240"
"2019-11-13 03:00:00.000","hun","28517"
"2019-11-13 03:00:00.000","fin","17182"
"2019-11-13 03:00:00.000","ron","20634"
"2019-11-13 04:00:00.000","ara","36580"
"2019-11-13 04:00:00.000","ron","37270"
"2019-11-13 04:00:00.000","hun","50083"
"2019-11-13 04:00:00.000","dan","33490"
"2019-11-13 04:00:00.000","ell","22071"
"2019-11-13 04:00:00.000","fas","45693"
"2019-11-13 04:00:00.000","fin","36046"
"2019-11-13 05:00:00.000","hun","45650"
"2019-11-13 05:00:00.000","dan","30865"
"2019-11-13 05:00:00.000","fin","33226"
"2019-11-13 05:00:00.000","fas","43327"
"2019-11-13 05:00:00.000","ell","21711"
"2019-11-13 05:00:00.000","ron","34663"
"2019-11-13 05:00:00.000","ara","32797"
"2019-11-13 06:00:00.000","ell","13082"
"2019-11-13 06:00:00.000","ara","20806"
"2019-11-13 06:00:00.000","dan","19605"
"2019-11-13 06:00:00.000","fin","20863"
"2019-11-13 06:00:00.000","ron","22475"
"2019-11-13 06:00:00.000","fas","25890"
"2019-11-13 06:00:00.000","hun","28588"
"2019-11-13 07:00:00.000","fas","43028"
"2019-11-13 07:00:00.000","ara","34094"
"2019-11-13 07:00:00.000","fin","33316"
"2019-11-13 07:00:00.000","hun","48264"
"2019-11-13 07:00:00.000","dan","30712"
"2019-11-13 07:00:00.000","ron","34619"
"2019-11-13 07:00:00.000","ell","21508"
"2019-11-13 08:00:00.000","hun","28338"
"2019-11-13 08:00:00.000","ara","20164"
"2019-11-13 08:00:00.000","fin","20459"
"2019-11-13 08:00:00.000","ell","11492"
"2019-11-13 08:00:00.000","ron","22911"
"2019-11-13 08:00:00.000","dan","19086"
"2019-11-13 08:00:00.000","fas","24848"
"2019-11-13 09:00:00.000","dan","33061"
"2019-11-13 09:00:00.000","fas","45682"
"2019-11-13 09:00:00.000","ell","20907"
"2019-11-13 09:00:00.000","fin","36700"
"2019-11-13 09:00:00.000","ron","37364"
"2019-11-13 09:00:00.000","ara","37656"
"2019-11-13 09:00:00.000","hun","50831"
"2019-11-13 10:00:00.000","fas","43707"
"2019-11-13 10:00:00.000","fin","33367"
"2019-11-13 10:00:00.000","ara","35305"
"2019-11-13 10:00:00.000","hun","48861"
"2019-11-13 10:00:00.000","ron","37227"
"2019-11-13 10:00:00.000","ell","20289"
"2019-11-13 10:00:00.000","dan","31794"
"2019-11-13 11:00:00.000","dan","19285"
"2019-11-13 11:00:00.000","ron","21653"
"2019-11-13 11:00:00.000","ara","20431"
"2019-11-13 11:00:00.000","fin","20064"
"2019-11-13 11:00:00.000","fas","23101"
"2019-11-13 11:00:00.000","ell","11941"
"2019-11-13 11:00:00.000","hun","28076"
"2019-11-13 12:00:00.000","dan","32837"
"2019-11-13 12:00:00.000","ell","20579"
"2019-11-13 12:00:00.000","hun","47115"
"2019-11-13 12:00:00.000","ron","34331"
"2019-11-13 12:00:00.000","fas","42287"
"2019-11-13 12:00:00.000","fin","34270"
"2019-11-13 12:00:00.000","ara","34990"
"2019-11-13 13:00:00.000","ell","12540"
"2019-11-13 13:00:00.000","ron","24393"
"2019-11-13 13:00:00.000","fin","20962"
"2019-11-13 13:00:00.000","hun","29882"
"2019-11-13 13:00:00.000","dan","22164"
"2019-11-13 13:00:00.000","ara","22561"
"2019-11-13 13:00:00.000","fas","27523"
"2019-11-13 14:00:00.000","ara","31529"
"2019-11-13 14:00:00.000","fin","30753"
"2019-11-13 14:00:00.000","ron","33445"
"2019-11-13 14:00:00.000","dan","30154"
"2019-11-13 14:00:00.000","hun","42300"
"2019-11-13 14:00:00.000","fas","40510"
"2019-11-13 14:00:00.000","ell","19147"
"2019-11-13 15:00:00.000","hun","47060"
"2019-11-13 15:00:00.000","ron","37805"
"2019-11-13 15:00:00.000","ell","20552"
"2019-11-13 15:00:00.000","dan","31401"
"2019-11-13 15:00:00.000","fin","33945"
"2019-11-13 15:00:00.000","ara","33000"
"2019-11-13 15:00:00.000","fas","44700"
"2019-11-13 16:00:00.000","fas","22484"
"2019-11-13 16:00:00.000","dan","17602"
"2019-11-13 16:00:00.000","ron","20560"
"2019-11-13 16:00:00.000","ara","18314"
"2019-11-13 16:00:00.000","fin","17694"
"2019-11-13 16:00:00.000","hun","25017"
"2019-11-13 16:00:00.000","ell","10373"
"2019-11-13 17:00:00.000","ara","35049"
"2019-11-13 17:00:00.000","ron","38210"
"2019-11-13 17:00:00.000","fas","42157"
"2019-11-13 17:00:00.000","dan","33272"
"2019-11-13 17:00:00.000","fin","33824"
"2019-11-13 17:00:00.000","hun","47102"
"2019-11-13 17:00:00.000","ell","21138"
"2019-11-13 18:00:00.000","ron","28986"
"2019-11-13 18:00:00.000","fin","25577"
"2019-11-13 18:00:00.000","dan","25810"
"2019-11-13 18:00:00.000","ell","16731"
"2019-11-13 18:00:00.000","fas","35060"
"2019-11-13 18:00:00.000","hun","38634"
"2019-11-13 18:00:00.000","ara","27551"
"2019-11-13 19:00:00.000","ell","17545"
"2019-11-13 19:00:00.000","fin","24780"
"2019-11-13 19:00:00.000","ara","26560"
"2019-11-13 19:00:00.000","hun","35407"
"2019-11-13 19:00:00.000","fas","34616"
"2019-11-13 19:00:00.000","dan","25611"
"2019-11-13 19:00:00.000","ron","28256"
"2019-11-13 20:00:00.000","dan","31313"
"2019-11-13 20:00:00.000","fin","33040"
"2019-11-13 20:00:00.000","fas","43404"
"2019-11-13 20:00:00.000","ara","33564"
"2019-11-13 20:00:00.000","ell","22332"
"2019-11-13 20:00:00.000","ron","34145"
"2019-11-13 20:00:00.000","hun","46715"
