"n_pages","perc_pages","avg_warc_record_length","sum_warc_record_length","perc_warc_storage","content_mime_detected","perc_truncated","reasons_truncation"
"3","1.158035045871677E-7","122133.66666666667","366401","6.437319222528531E-7","application/w3x","0.0",
"3","1.158035045871677E-7","24274.666666666668","72824","1.27944884173738E-7","application/octet-strean","0.0",
"3","1.158035045871677E-7","737.3333333333334","2212","3.886274906518572E-9","text/x-bizhawk-wch","0.0",
"3","1.158035045871677E-7","961.6666666666666","2885","5.0686722899213745E-9","application/license-key","0.0",
"3","1.158035045871677E-7","983311.0","2949933","5.182753433006804E-6","chemical/x-cache-csf","100.0","{length=3}"
"3","1.158035045871677E-7","1112.6666666666667","3338","5.864550469240051E-9","application/vnd.taverna.component-profile+xml","0.0",
"3","1.158035045871677E-7","17660.0","52980","9.308085196534988E-8","application/x-gettext-catalog","0.0",
"3","1.158035045871677E-7","1212.3333333333333","3637","6.38986520569984E-9","application/xsl+xml","0.0",
"3","1.158035045871677E-7","728.3333333333334","2185","3.838838458744611E-9","audio/cda","0.0",
"3","1.158035045871677E-7","6023.666666666667","18071","3.1749038804564695E-8","text/tef","0.0",
"3","1.158035045871677E-7","1067.6666666666667","3203","5.627368230370247E-9","x-cdt/x-mbx","0.0",
"3","1.158035045871677E-7","170183.66666666666","510551","8.96989846201611E-7","text/obo","100.0","{length=3}"
"3","1.158035045871677E-7","891501.0","2674503","4.69884895854821E-6","video/h264","66.66666666666667","{length=2}"
"3","1.158035045871677E-7","147709.66666666666","443129","7.785357653936113E-7","application/vnd.kde.kpresenter","0.0",
"3","1.158035045871677E-7","9383.666666666666","28151","4.945864597351009E-8","application/vnd.groove-tool-message","0.0",
"3","1.158035045871677E-7","2502.6666666666665","7508","1.319084629210734E-8","text/plain-java","0.0",
"3","1.158035045871677E-7","787.3333333333334","2362","4.149810727485021E-9","application/x-cdf","0.0",
"3","1.158035045871677E-7","1017.0","3051","5.360318598457578E-9","text/rdf+nt","0.0",
"3","1.158035045871677E-7","981380.0","2944140","5.17257567960108E-6","video/vlc","100.0","{length=3}"
"3","1.158035045871677E-7","347472.6666666667","1042418","1.8314298894680275E-6","application/vnd.koan","33.333333333333336","{length=1}"
"3","1.158035045871677E-7","3584.6666666666665","10754","1.88937614578213E-8","application/timestamp-reply","0.0",
"3","1.158035045871677E-7","13305.666666666666","39917","7.013039577011837E-8","application/calendar+xml","0.0",
"3","1.158035045871677E-7","1294.0","3882","6.820307046611707E-9","text/vnd.curl","0.0",
"3","1.158035045871677E-7","5979.666666666667","17939","3.1517127282114224E-8","image/vnd.dxb","0.0",
"3","1.158035045871677E-7","61989.666666666664","185969","3.267299539287307E-7","application/vnd.software602.filler.form+xml","0.0",
"3","1.158035045871677E-7","35914.0","107742","1.892925094837812E-7","font/x-woff2","0.0",
"3","1.158035045871677E-7","73149.0","219447","3.855476353574959E-7","application/lcp-ebook","0.0",
"3","1.158035045871677E-7","157997.33333333334","473992","8.327591390101948E-7","application/resource-lists-diff+xml","33.333333333333336","{length=1}"
"3","1.158035045871677E-7","1048571.3333333334","3145714","5.526722143437687E-6","application/settlers","100.0","{length=3}"
"3","1.158035045871677E-7","25522.0","76566","1.3451922445411435E-7","text/vnd.openmeteo.timeseries","0.0",
